Date       ,Season               ,Day Name                     ,Meditation        ,OT Reading                               ,NT Reading
2024-06-07 ,Second Ordinary Time ,Friday of Week 2             ,Psalm             ,Judges 1-3;Judges 4-5                    ,
2024-06-08 ,Second Ordinary Time ,Saturday of Week 2           ,Psalm             ,Judges 6-8;Judges 9-12                   ,
2024-06-09 ,Second Ordinary Time ,3rd Sunday                   ,Psalm             ,Judges 13-15;Judges 16-18                ,
2024-06-10 ,Second Ordinary Time ,Monday of Week 3             ,Psalm             ,Judges 19-21                             ,
2024-06-11 ,Second Ordinary Time ,Tuesday of Week 3            ,Psalm             ,                                         ,
2024-06-12 ,Second Ordinary Time ,Wednesday of Week 3          ,Psalm             ,1 Samuel 1-3;1 Samuel 4-8                ,
2024-06-13 ,Second Ordinary Time ,Thursday of Week 3           ,Psalm             ,1 Samuel 9-12;1 Samuel 13-15             ,
2024-06-14 ,Second Ordinary Time ,Friday of Week 3             ,Psalm             ,1 Samuel 15-17;1 Samuel 18-20            ,
2024-06-15 ,Second Ordinary Time ,Saturday of Week 3           ,Psalm             ,1 Samuel 21-24;1 Samuel 25-27            ,
2024-06-16 ,Second Ordinary Time ,4th Sunday                   ,Psalm             ,1 Samuel 28-31                           ,
2024-06-17 ,Second Ordinary Time ,Monday of Week 4             ,Psalm             ,2 Samuel 1-3;2 Samuel 4-8                ,
2024-06-18 ,Second Ordinary Time ,Tuesday of Week 4            ,Psalm             ,2 Samuel 9-12;2 Samuel 13-15             ,
2024-06-19 ,Second Ordinary Time ,Wednesday of Week 4          ,Psalm             ,2 Samuel 16-18;2 Samuel 19-21            ,
2024-06-20 ,Second Ordinary Time ,Thursday of Week 4           ,Psalm             ,2 Samuel 22-24                           ,
2024-06-21 ,Second Ordinary Time ,Friday of Week 4             ,Psalm             ,                                         ,
2024-06-22 ,Second Ordinary Time ,Saturday of Week 4           ,Psalm             ,1 Kings 1-4;1 Kings 4-7                  ,
2024-06-23 ,Second Ordinary Time ,5th Sunday                   ,Psalm             ,1 Kings 8-10;1 Kings 11-13               ,
